Tweet Id	Target	Stance	Opinion Towards	Sentiment	full_text
1282689290649194496	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Surgeons & nurses wear them for hours every day standing up w/o breaks during surgeries. Cowgirl up. #WearAMask
1282611900052897801	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	I try to be unbiased on my Twitter.  Which is why I’m saying Wear A Mask.  Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human.  We all have to do our part to slow the spread of COVID-19.  #WearAMask
1289938782561562624	face_masks	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	@GOPLeader So 9 out of 10 members of Congress with Covid-19 is a Republican. Doesn’t that antidotal added to science tell you something? Covid-19 doesn’t care about your politics but the politics of the Republican Party have made it worse. #WearADamnMask
1277587369592586241	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	@AvantiWestCoast I’m in coach F en route to London Euston from Sandwell & Dudley and two people opposite me do not have a facemask on? What is the process as I feel that it is irresponsible and also they’re not following the strict guidelines like others. #covid19 #masks
1290515951822069760	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	
1290201747500068865	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	@Placed2nd @AngelaBelcamino Omg people say I have to wear a mask and I'm crying because I have to wear a mask to save lives boo hoo!! MAGAts are stupid!!! #WearADamnMask
1290169083866963968	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	
1290301794111741954	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	@Lowes employee correct mask wearing 100% Customer mask wearing 90% Customer correct mask wearing 50% #coveryournose 😷 😷 😷  Special shoutout to the woman wearing a chin guard 😡 #WearADamnMask
1290707854144475136	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	@Learning2GetBy What a bunch of hillbillies! That asshole  @DerekSloanCPC Is proud to show his supporters! 😂😂😂 it’s no Mensa meeting. And not a mask in site, wow, what brilliance! #canpoli #Manitoba #WearADamnMask
1282660840198623232	face_masks	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	@KrisTStacey1 @Walmart What’s Schantz.   The Democrat Governors of WA and NY have both done a great job combatting #COVID19..  The Democrat mayor of NYC is a damn idiot tho.  Don’t be a #COVIDIOT, Kris.  #WearAMask
1290304453250146305	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS #WearADamnMask
1290358161715736577	face_masks	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	
